Age,Gender,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve,Thirteen,Class
25,1,2,4,3,4,4,3,4,5,3,3,4,2,3,3.3846
24,2,4,4,4,4,4,4,4,4,4,2,4,4,5,3.9231
23,1,5,4,3,4,5,5,4,4,2,2,4,3,5,3.8462
24,1,3,4,4,4,4,4,2,2,3,3,2,2,3,3.0769
23,1,4,4,4,4,3,4,3,2,3,2,1,2,4,3.0769
24,1,3,4,4,3,3,2,3,2,2,3,4,2,2,2.8462
25,1,4,4,4,4,4,4,3,4,3,2,3,2,3,3.3846
25,2,4,2,4,4,5,4,4,4,4,2,4,4,4,3.7692
24,2,5,4,3,5,4,4,4,2,4,1,3,3,3,3.4615
26,2,5,5,5,5,3,4,4,2,3,2,3,3,4,3.6923
23,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3.3077
24,2,4,4,4,4,4,5,4,4,3,2,4,2,5,3.7692
24,2,4,5,4,4,4,4,4,4,4,3,5,2,4,3.9231
21,1,5,5,4,5,5,3,2,1,3,1,3,1,2,3.0769
22,1,3,4,4,5,4,4,4,4,4,4,4,4,4,4
24,1,5,5,3,4,4,4,4,3,4,3,5,4,4,4
24,1,4,4,4,4,3,4,3,3,3,2,3,4,4,3.4615
31,1,2,4,4,3,4,2,2,1,3,3,3,1,1,2.5385
22,1,4,5,4,4,3,4,3,2,3,3,3,2,3,3.3077
26,1,4,5,5,5,3,3,5,3,4,1,3,4,3,3.6923
24,1,4,4,3,4,5,3,4,2,3,1,4,4,3,3.3846
21,2,4,4,5,4,4,4,4,4,2,2,4,4,4,3.7692
23,1,4,5,4,3,5,2,2,3,3,2,3,4,4,3.3846
21,1,4,4,4,4,4,4,4,2,3,2,4,4,4,3.6154
21,1,4,4,5,2,4,3,4,3,3,4,3,3,2,3.3846
21,1,5,5,5,4,4,4,4,2,3,3,4,4,4,3.9231
23,1,4,5,5,4,5,4,2,3,2,4,2,2,3,3.4615
25,2,4,5,4,4,5,4,4,3,4,4,4,3,4,4
42,1,4,5,5,3,4,3,3,4,2,2,3,2,4,3.3846
25,1,4,4,3,4,3,3,3,3,3,3,3,2,3,3.1538
21,1,5,5,5,5,5,3,3,3,3,2,4,4,4,3.9231
21,1,5,4,4,5,5,4,3,3,4,3,3,4,4,3.9231
29,1,4,4,3,4,4,4,4,4,3,3,4,4,4,3.7692
25,1,4,4,4,4,3,2,2,1,3,3,4,2,3,3
25,1,5,5,5,5,4,4,4,4,4,1,4,2,4,3.9231
24,1,4,4,4,2,4,5,4,4,4,2,4,3,4,3.6923
23,2,5,5,4,4,5,4,3,3,4,2,4,4,5,4
22,1,4,4,4,4,3,2,4,2,3,3,3,4,3,3.3077
28,2,4,5,4,5,3,4,3,3,3,2,4,4,3,3.6154
24,1,5,5,5,4,4,5,5,5,5,5,5,5,5,4.8462
20,1,5,3,4,5,4,4,5,4,4,3,4,3,4,4
22,1,4,5,4,4,4,4,4,3,3,4,4,3,4,3.8462
21,1,4,4,4,4,4,4,3,2,3,2,3,4,3,3.3846
20,1,2,4,5,4,4,4,3,4,4,4,3,4,4,3.7692
21,1,4,5,4,2,4,4,3,4,4,4,3,3,2,3.5385
21,2,5,5,4,2,4,5,5,4,4,2,4,4,4,4
24,1,5,4,3,4,5,4,5,4,4,4,5,4,4,4.2308
22,1,4,4,4,4,3,4,4,3,3,2,3,4,3,3.4615
23,1,4,4,3,3,2,3,4,4,3,3,3,3,3,3.2308
30,1,5,4,4,4,4,4,3,4,3,1,4,4,2,3.5385
28,1,4,4,5,5,3,3,4,3,4,2,4,4,4,3.7692
25,1,5,5,4,3,4,5,5,5,4,2,4,3,4,4.0769
25,1,4,4,3,4,4,4,4,4,3,2,3,3,4,3.5385
22,1,4,5,5,4,4,2,3,2,3,1,1,1,2,2.8462
22,2,5,5,5,4,4,4,4,3,3,2,4,4,4,3.9231
27,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
25,1,2,4,5,3,2,3,3,2,3,1,3,4,3,2.9231
25,1,4,3,4,4,4,4,4,4,4,2,4,4,4,3.7692
21,1,4,4,4,4,3,3,4,4,4,2,3,3,4,3.5385
23,1,4,5,2,4,3,3,3,4,3,2,4,2,4,3.3077
23,1,4,5,2,4,3,3,3,4,3,2,4,2,4,3.3077
23,1,4,4,3,3,3,5,3,4,3,3,5,4,4,3.6923
20,1,4,4,3,4,3,2,1,1,2,3,2,3,2,2.6154
22,2,2,5,3,3,4,4,2,3,2,3,3,1,3,2.9231
26,1,4,4,3,4,3,3,3,2,3,3,3,3,3,3.1538
23,1,4,4,4,4,3,4,4,4,4,4,4,4,4,3.9231
20,2,4,4,3,4,4,4,4,4,3,3,4,4,4,3.7692
25,1,4,5,3,4,1,4,3,2,4,2,2,1,4,3
20,1,4,4,5,3,5,4,5,4,3,4,3,4,4,4
