 ,res_age_isrvy,education_cat,ethnicity,gender,household_head,household_size,house_type,marital_status,msa_status,cur_emplyment_status,glb_known_friend,political_party_cat,evangelical_or_born_again,religion,either_internet_adjusted,same_sex_couple,relationship_quality,coresident,same_school,growup_same_city,gender_attraction,same_college,US_raised,how_long_ago_first_met_cat,respondent_race,partner_race,met_through_friends,met_through_family,met_through_as_neighbors,met_through_as_coworkers,married,parental_approval,household_indollar,children_in_hh,distancemoved_10mi,how_long_ago_first_romantic,how_long_ago_first_cohab,how_long_relationship,age_difference,respondent_yrsed,partner_yrsed,partner_mom_yrsed,total_marriage,respondent_mom_yrsed,q8a,q8b,q9,q12,q13a,q13b,q16,q18a_1,q18a_2,q18a_3,q21a,q21b,q21c,q21d,q21e,q23,q30,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_other_text_entered,q33_1,q33_2,q33_3,q33_4,q33_5,q33_6,q33_7,q33_other_text_entered,q24_met_online,summary_q24_total,q24_R_cowork,q24_R_friend,q24_R_family,q24_R_sig_other,q24_R_neighbor,q24_P_cowork,q24_P_friend,q24_P_family,q24_P_sig_other,q24_P_neighbor,q24_btwn_I_cowork,q24_btwn_I_friend,q24_btwn_I_family,q24_btwn_I_sig_other,q24_btwn_I_neighbor,q24_school,q24_college,q24_military,q24_church,q24_vol_org,q24_customer,q24_bar_restaurant,q24_internet_dating,q24_internet_social_networking,q24_internet_game,q24_internet_chat,q24_internet_community,q24_internet_other,q24_public,q24_private_party,q24_blind_date,q24_vacation,q24_singles_service_non_internet,q24_business_trip,q24_work_neighbor,q24_fam_sister_active,q24_fam_brother_active,q24_fam_mother_active,q24_fam_father_active,q24_fam_other_active,q24_fam_cousins_active,q24_fam_aunt_niece_active,q24_fam_uncle_nephew_active,q24_fam_grandmother_active,q24_fam_grandfather_active,q24_fam_sister_passive,q24_fam_brother_passive,q24_fam_mother_passive,q24_fam_father_passive,q24_fam_other_passive,q24_fam_cousins_passive,q24_fam_aunt_niece_passive,q24_fam_uncle_nephew_passive,q24_fam_grandmother_passive,q24_fam_grandfather_passive,q24_fam_female,q24_fam_male,together_or_not
34341,34,4,1,2,1,2,1,1,1,1,3,3,2,12,0,0,5,1,2,2,2,1,1,5,1,1,1,0,1,0,1,1,80000,0,2230,14,12,14,0,16,16,17,1,14,2,2,34,3,2,13,0,,,,18,20,22,23,,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35653,65,4,1,1,1,2,1,3,1,1,1,3,2,11,1,1,5,0,2,2,5,2,1,4,1,1,0,0,0,0,0,,45000,0,10,14,,14,15,17,13,12,,12,2,3,50,2,2,3,0,0,0,1,51,51,,,,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36493,49,4,1,1,1,2,1,3,0,1,3,3,2,2,1,1,3,0,2,2,5,2,1,1,1,1,0,0,0,0,0,,45000,0,920,0,,0.150000006,3,16,16,13,,16,1,,46,2,1,,3,0,0,1,49,49,,,,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37656,65,4,1,2,1,2,2,6,1,1,3,3,2,13,,,,,,,,,,,1,,,,,,0,,92250,0,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39415,41,4,1,1,1,1,2,5,1,1,3,3,2,13,,,,,,,,,,,1,,,,,,0,,67250,0,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41505,50,1,1,1,1,1,1,5,1,4,1,3,2,12,0,1,4,0,2,2,5,,1,1,1,1,0,0,0,0,0,0,2500,0,180,0,,0.150000006,2,11,16,13,,17,2,11,52,2,2,1,0,0,0,1,50,50,,,,3,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42645,64,3,5,1,1,2,2,5,1,4,3,3,2,13,,,,,,,,,,,1,,,,,,0,,6250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44486,48,3,2,2,1,2,3,6,1,1,3,3,2,12,1,1,4,1,2,2,5,2,1,2,2,1,0,0,0,0,1,1,112250,0,10,4,3,4,1,13,13,16,1,13,2,13,47,2,2,3,2,1,1,0,44,44,45,45,48,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45653,65,4,1,1,1,2,1,3,1,5,1,1,1,2,,,,,,,,,,,1,,,,,,0,,22250,0,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46746,74,4,1,1,1,2,1,6,1,5,3,3,2,13,0,1,5,1,2,2,5,2,1,7,1,1,0,0,0,0,1,,80000,0,2280,43,38,43,13,20,14,12,1,16,1,,61,2,2,11,0,0,0,1,31,31,36,31,,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48225,22,3,1,1,0,4,1,5,1,1,2,1,2,3,0,0,5,0,2,1,1,2,1,4,1,1,0,0,0,0,0,1,67250,1,0,0,,0.449999988,0,13,16,16,,16,1,,22,1,1,,0,0,0,1,9,22,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49731,73,1,1,1,1,2,1,1,0,5,3,1,1,9,0,0,5,1,2,2,1,,1,7,1,1,0,1,0,0,1,,22250,0,0,46,46,46,7,7.5,13,12,2,7.5,1,,66,3,1,,3,,,,20,27,27,27,,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50605,60,3,1,1,1,2,3,5,1,5,1,1,1,2,,,,,,,,,,,1,,,,,,0,,37250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51376,37,4,4,1,1,2,1,6,1,1,3,3,2,3,0,1,4,1,2,2,5,1,0,2,6,6,0,0,0,0,0,1,92250,0,230,2,2,2.5,4,16,13,9,,9,1,,33,2,1,,10,0,0,1,34,35,35,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53436,43,3,1,1,0,2,1,6,1,1,1,3,2,12,,,,,,,,,,,1,,,,,,0,,27250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54415,41,1,1,2,1,2,3,5,1,1,3,1,2,5,1,0,4,0,2,2,2,,1,1,1,1,0,0,0,0,0,0,27250,0,0,0,,0.449999988,7,12,17,13,,16,1,,48,3,1,,3,0,0,1,41,41,,,,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56536,53,4,4,2,1,2,1,6,1,1,3,3,2,13,0,1,4,1,2,2,5,2,1,3,6,1,1,0,0,0,0,1,67250,0,720,10,2,10,4,16,17,12,,12,2,13,57,2,2,3,0,0,0,1,43,43,51,,,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57485,48,2,1,2,1,1,3,5,1,1,3,1,2,3,,,,,,,,,,,1,,,,,,0,,45000,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58295,29,4,1,2,1,1,3,5,1,1,1,1,1,2,0,0,5,0,2,2,1,2,1,2,1,1,0,1,0,0,0,1,45000,0,110,3,,4,5,16,17,12,,17,1,,34,1,1,,0,0,0,1,26,26,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59265,26,4,1,2,0,3,1,5,1,4,3,3,2,5,,,,,,,,,,,1,,,,,,0,,162250,0,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
