 ,res_age_isrvy,education_cat,ethnicity,gender,household_head,household_size,house_type,marital_status,msa_status,cur_emplyment_status,glb_known_friend,political_party_cat,evangelical_or_born_again,religion,either_internet_adjusted,same_sex_couple,relationship_quality,coresident,same_school,growup_same_city,gender_attraction,same_college,US_raised,how_long_ago_first_met_cat,respondent_race,partner_race,met_through_friends,met_through_family,met_through_as_neighbors,met_through_as_coworkers,married,parental_approval,household_indollar,children_in_hh,distancemoved_10mi,how_long_ago_first_romantic,how_long_ago_first_cohab,how_long_relationship,age_difference,respondent_yrsed,partner_yrsed,partner_mom_yrsed,total_marriage,respondent_mom_yrsed,q8a,q8b,q9,q12,q13a,q13b,q16,q18a_1,q18a_2,q18a_3,q21a,q21b,q21c,q21d,q21e,q23,q30,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_other_text_entered,q33_1,q33_2,q33_3,q33_4,q33_5,q33_6,q33_7,q33_other_text_entered,q24_met_online,summary_q24_total,q24_R_cowork,q24_R_friend,q24_R_family,q24_R_sig_other,q24_R_neighbor,q24_P_cowork,q24_P_friend,q24_P_family,q24_P_sig_other,q24_P_neighbor,q24_btwn_I_cowork,q24_btwn_I_friend,q24_btwn_I_family,q24_btwn_I_sig_other,q24_btwn_I_neighbor,q24_school,q24_college,q24_military,q24_church,q24_vol_org,q24_customer,q24_bar_restaurant,q24_internet_dating,q24_internet_social_networking,q24_internet_game,q24_internet_chat,q24_internet_community,q24_internet_other,q24_public,q24_private_party,q24_blind_date,q24_vacation,q24_singles_service_non_internet,q24_business_trip,q24_work_neighbor,q24_fam_sister_active,q24_fam_brother_active,q24_fam_mother_active,q24_fam_father_active,q24_fam_other_active,q24_fam_cousins_active,q24_fam_aunt_niece_active,q24_fam_uncle_nephew_active,q24_fam_grandmother_active,q24_fam_grandfather_active,q24_fam_sister_passive,q24_fam_brother_passive,q24_fam_mother_passive,q24_fam_father_passive,q24_fam_other_passive,q24_fam_cousins_passive,q24_fam_aunt_niece_passive,q24_fam_uncle_nephew_passive,q24_fam_grandmother_passive,q24_fam_grandfather_passive,q24_fam_female,q24_fam_male,together_or_not
973581,58,4,1,1,1,2,2,1,1,2,3,3,2,5,0,1,5,1,2,2,5,2,1,5,1,1,0,0,0,0,1,,200000,0,100,17,15,17,20,16,17,12,1,14,2,2,38,2,1,,0,0,0,1,41,41,43,46,,3,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
976531,53,1,1,1,1,3,1,1,1,1,2,3,,,0,0,5,1,1,2,1,,1,7,1,1,1,0,0,0,1,1,92250,0,0,38,31,38,0,12,13,12,1,12,1,,53,2,1,,1,,,,15,15,22,23,,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
977741,74,4,1,2,1,2,1,1,0,5,2,1,1,2,0,0,3,1,2,2,1,1,1,7,1,1,0,1,1,1,1,,45000,0,640,54,53,54,4,16,16,12,1,5.5,2,2,78,1,1,,11,,,,20,20,21,21,,2,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
980603,60,3,5,2,0,1,3,3,1,1,5,3,1,11,,,,,,,,,,,3,,,,,,0,,22250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
981733,73,1,1,2,1,1,4,3,1,1,1,3,2,1,,,,,,,,,,,1,,,,,,0,,22250,0,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
983661,66,3,1,1,1,1,1,1,1,2,3,1,1,11,0,0,5,0,2,2,1,2,1,4,1,1,0,0,0,0,1,1,67250,0,0,14,14,14,10,13,14,12,2,13,1,,56,1,1,,6,,,,52,52,52,52,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
984451,45,1,2,2,1,2,1,1,1,1,2,3,2,13,0,0,4,1,2,1,1,,1,6,2,2,0,0,0,0,1,,37250,0,0,28,28,28,7,11,12,9,1,5.5,1,,52,2,1,,9,,,,17,17,17,34,,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
985571,57,2,1,2,1,2,1,1,1,4,3,3,2,3,0,0,4,1,2,2,1,,1,7,1,1,0,1,1,0,1,1,37250,0,0,35,22,35,1,12,12,12,1,12,1,,58,3,1,,2,,,,22,22,35,35,,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
986481,48,1,1,2,1,2,1,1,0,1,2,3,2,13,0,0,4,1,2,2,1,,1,7,1,1,1,0,0,0,1,1,37250,0,10,33,31,33,2,11,11,12,1,9,1,,50,5,1,,2,,,,14,15,17,18,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
988445,44,3,1,1,1,1,4,5,1,5,1,1,2,2,,,,,,,,,,,1,,,,,,0,,45000,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
990636,63,4,1,1,1,2,1,6,1,5,3,1,2,2,0,1,5,1,2,2,4,2,1,7,1,1,0,0,0,1,0,,55000,0,780,23,22,23,1,16,16,16,,17,1,,64,3,2,1,0,0,0,1,26,40,41,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
991466,46,2,1,1,1,2,1,6,1,1,4,3,2,3,1,0,4,1,2,2,1,,1,3,1,1,0,0,0,0,0,1,45000,0,0,6,4,6,2,12,12,20,,12,1,,48,1,1,,3,0,0,1,40,40,42,,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
995656,65,4,1,2,1,2,1,6,0,1,3,3,1,11,0,1,4,1,2,2,5,,1,4,1,1,1,0,0,0,1,,112250,0,180,14,13,14,5,16,12,12,2,12,1,,70,2,2,1,3,0,0,1,51,51,52,56,,1,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996793,79,3,1,2,0,1,2,3,1,5,2,3,1,11,,,,,,,,,,,1,,,,,,0,,17250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
997532,53,4,1,1,1,1,3,2,1,1,3,3,2,5,,,,,,,,,,,1,,,,,,0,,37250,0,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
999231,23,3,1,2,1,3,1,1,0,7,3,3,2,11,0,0,4,1,2,2,1,2,1,2,1,1,1,0,0,0,1,0,37250,2,0,4,3,4,4,13,13,17,1,12,1,,27,2,1,,7,,,,19,19,20,21,,3,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009361,36,3,1,1,1,3,2,1,1,1,1,3,2,11,0,0,5,1,2,2,1,,1,3,1,6,0,0,0,0,1,1,55000,0,10,7,6,7,2,13,12,12,1,13,1,,34,3,1,,0,,,,29,29,30,30,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1011511,51,1,1,1,1,2,1,1,1,1,1,3,2,1,0,0,5,1,2,2,3,,1,4,1,1,0,0,0,1,1,1,80000,0,400,14,13,14,6,12,12,12,2,13,1,,57,2,2,1,1,,,,37,37,38,38,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1012583,58,2,1,2,0,2,3,3,1,7,4,1,2,3,,,,,,,,,,,1,,,,,,0,,17250,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1013451,45,2,1,1,1,4,1,1,0,1,4,1,,2,0,0,5,1,2,2,1,,1,6,1,1,1,0,0,0,1,1,55000,0,0,21,20,21,6,12,12,10,2,12,1,,39,1,1,,6,,,,24,24,25,25,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014645,64,4,1,2,1,1,3,5,1,5,1,3,2,11,,,,,,,,,,,1,,,,,,0,,11250,0,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1015371,37,4,2,1,1,4,1,1,1,1,4,3,2,9,0,0,5,1,2,2,1,1,1,5,2,2,0,0,0,0,1,1,92250,0,260,16,13,16,3,16,17,12,1,12,1,,40,2,1,,4,,,,20,21,24,24,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1016205,20,3,1,2,0,3,1,5,1,7,4,1,1,1,,,,,,,,,,,1,,,,,,0,,92250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1017606,60,2,4,1,1,2,2,6,1,1,3,3,2,3,0,1,5,1,2,2,5,,1,7,6,1,0,0,0,0,1,1,45000,0,840,32,32,32,2,12,13,12,1,12,1,,58,2,1,,0,0,0,1,28,28,28,28,,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1021791,79,2,1,2,1,2,1,1,1,5,1,3,2,10,0,0,4,1,2,2,1,,1,7,1,1,0,0,0,0,1,,55000,0,40,59,56,59,2,12,12,12,1,5.5,1,,81,5,1,,0,,,,19,20,23,23,,3,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1022721,72,4,1,1,1,2,1,1,1,5,4,3,2,12,0,0,5,1,2,2,1,,1,7,1,1,0,0,0,0,1,,37250,0,180,40,40,40,3,16,12,12,2,14,1,,75,1,2,2,2,,,,32,32,32,33,,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025543,54,3,1,2,1,2,3,3,1,1,4,3,2,5,,,,,,,,,,,1,,,,,,0,,67250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1026381,38,2,1,2,1,3,3,1,0,7,4,1,2,11,0,0,4,1,2,2,1,,1,3,1,1,0,0,0,0,1,1,13750,0,20,7,7,7,6,12,7.5,,1,10,2,3,44,5,1,,0,,,,31,31,31,34,,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029571,57,2,1,2,1,3,1,1,0,7,1,3,1,2,0,0,5,1,1,2,1,,1,7,1,1,1,1,0,0,1,,45000,0,170,39,38,39,0,12,13,12,1,13,1,,57,2,2,3,3,,,,13,18,19,19,,3,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1030441,44,2,1,1,1,3,1,1,1,1,4,1,2,2,0,0,5,1,2,2,1,,1,6,1,1,1,0,0,0,1,1,112250,0,0,24,23,24,0,12,12,12,1,10,1,,44,1,1,,4,,,,18,20,21,21,,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1031721,72,2,1,1,1,3,1,1,1,5,4,1,1,11,0,0,5,1,2,2,1,,1,6,1,1,0,0,0,0,1,,55000,0,30,16,15,16,2,12,12,12,2,12,2,1,70,1,1,,0,,,,48,56,57,57,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1032405,40,2,2,1,1,2,3,5,1,1,4,3,2,1,,,,,,,,,,,2,,,,,,0,,45000,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1035596,59,4,1,2,1,2,1,6,1,2,1,3,2,3,0,1,5,1,2,2,4,2,1,5,1,1,1,0,0,0,0,,162250,0,130,19,19,19,8,17,16,16,,12,1,,51,2,1,,0,0,0,1,40,40,40,,,3,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1038241,24,3,1,2,1,3,1,1,1,1,2,1,2,1,0,0,3,1,1,1,2,,1,3,1,1,0,0,0,0,0,,22250,2,1000,10,6,10,1,13,12,0,,0,1,,25,5,1,,0,0,0,1,14,14,18,,,2,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041291,29,4,1,2,1,2,1,1,1,2,3,3,2,13,0,0,5,1,2,1,1,1,1,2,1,1,0,0,0,1,1,1,37250,0,440,5,5,5,0,16,17,17,1,14,1,,29,2,1,,0,,,,24,24,24,25,,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1043811,81,2,1,1,1,2,1,1,1,5,4,1,1,2,0,0,5,1,2,2,1,,1,7,1,1,1,1,0,0,1,,45000,0,640,60,56,60,4,12,13,7.5,1,12,1,,77,1,1,,0,,,,21,21,25,25,,1,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1044601,60,3,1,1,1,2,1,1,0,1,4,3,1,11,0,0,5,1,2,2,1,1,1,7,1,1,0,0,0,0,1,,80000,0,120,42,41,42,0,14,14,12,1,13,1,,60,2,1,,3,,,,17,18,19,19,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045611,61,1,1,2,1,2,1,1,1,7,4,3,2,2,0,0,5,1,2,2,1,,1,7,1,1,0,1,0,0,1,,27250,0,0,45,45,45,6,11,12,5.5,1,9,2,1,67,2,2,1,5,,,,16,16,16,16,,3,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1047765,76,2,2,1,1,1,1,5,1,5,3,3,1,9,,,,,,,,,,,2,,,,,,0,,13750,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1050395,39,4,1,2,1,2,1,5,1,1,3,3,2,3,0,1,4,1,2,2,2,2,1,3,1,1,1,0,0,1,0,0,55000,0,1020,10,10,10,3,16,14,14,,16,1,,36,2,1,,14,0,0,1,29,29,29,,,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1051525,52,4,1,1,1,1,2,5,1,2,3,1,2,13,,,,,,,,,,,1,,,,,,0,,17250,0,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1052595,59,4,4,1,1,1,2,5,1,1,3,3,2,13,0,1,5,0,2,2,4,2,1,5,6,1,1,0,0,0,0,0,137250,0,1510,16,15,16,21,17,20,16,,13,1,,38,2,1,,0,0,0,1,43,43,44,,,2,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1054833,83,2,1,2,1,1,2,3,1,5,1,1,1,2,,,,,,,,,,,1,,,,,,0,,13750,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1055665,66,3,1,2,1,1,1,5,0,5,4,1,1,2,,,,,,,,,,,1,,,,,,0,,45000,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1058195,19,2,1,1,0,6,1,5,1,3,3,1,2,3,0,0,4,0,2,2,1,,1,1,1,1,1,1,0,0,0,1,137250,3,250,0,,0.449999988,4,12,16,16,,12,1,,23,2,1,,0,0,0,1,17,19,,,,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1059286,28,4,1,2,0,4,1,6,1,1,1,3,2,13,0,0,5,1,2,2,1,1,1,4,1,1,0,0,1,0,0,1,112250,0,0,8,7,8,1,16,16,17,,17,2,3,29,2,2,2,4,0,0,1,17,20,21,,,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1060515,51,4,4,1,1,2,2,5,1,1,3,3,2,3,,,,,,,,,,,6,,,,,,0,,67250,0,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1061491,49,1,1,2,1,4,1,1,1,2,3,1,2,11,0,0,5,1,2,2,1,,1,7,1,1,1,0,0,0,1,,162250,0,1380,33,31,33,7,10,12,12,1,12,1,,56,1,1,,2,,,,15,16,18,18,,3,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1064496,49,3,1,1,0,6,1,6,1,6,4,3,2,11,1,0,4,1,2,2,1,,1,1,1,1,0,0,0,0,0,0,17250,0,970,1,1,1.5,0,14,12,10,,14,1,,49,2,1,,2,1,0,0,47,48,48,,48,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065335,33,3,1,1,0,4,1,5,1,4,3,1,2,11,,,,,,,,,,,1,,,,,,0,,67250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1067305,30,4,3,1,1,1,3,5,1,1,1,3,2,11,,,,,,,,,,,4,,,,,,0,,112250,0,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1069616,61,3,4,1,0,3,3,6,1,7,3,3,1,11,1,1,5,1,2,2,5,2,1,2,6,1,0,0,0,0,0,0,92250,0,10,5,3,5,1,13,13,12,,12,1,,62,2,2,3,0,0,0,1,56,56,58,,,3,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070563,56,2,1,2,1,1,2,3,1,4,1,3,2,11,,,,,,,,,,,1,,,,,,0,,11250,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1072822,82,2,1,2,1,1,4,2,1,5,4,1,2,2,,,,,,,,,,,1,,,,,,0,,11250,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
